label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
2	690 m/(s^2)	0.2314 N	soccer	Biotechnology, Games and Playable Media	603	763	1310	102 m^2	0.0924 m/s	0.457	0.1733	393	-0.2741	877	reptile
3	959 m/(s^2)	0.4377 N	track & field	Applied Mathematics	692	430	45	603 m^2	0.5947 m/s	0.9579	0.8815	770	0.1459	765	dog
6	-87 m/(s^2)	0.4816 N	golf	Data Science	817	309	542	636 m^2	0.4383 m/s	0.0507	0.3675	332	1.0444	618	GUINEA PIG
5	232 m/(s^2)	0.3326 N	football	Computer Science	29	79	358	493 m^2	0.6966 m/s	0.4606	0.1111	1008	0.3653	314	ferret
2	571 m/(s^2)	0.1704 N	soccer	Games and Playable Media, Biotechnology	542	512	965	154 m^2	0.1089 m/s	0.3078	0.5999	610	-0.0067	701	cat
4	776 m/(s^2)	0.9041 N	ice hockey	Technology and Information Management	963	860	762	510 m^2	0.552 m/s	0.3658	0.3117	-82	0.8107	519	hamster
0	300 m/(s^2)	0.6298 N	boxing	Statistics	338	843	813	-54 m^2	0.7191 m/s	0.8719	0.7555	230	0.1197	-44	rabbit
4	704 m/(s^2)	n/a	ice hockey	Technology and Information Management	965	749	681	411 m^2	0.4188 m/s	0.3677	0.0803	35	0.7413	551	reptile
0	321 m/(s^2)	0.6395 N	?	Bioengineering	355	1202	971	32 m^2	0.7435 m/s	0.6953	0.8531	323	0.4152	171	rabbit
1	318 m/(s^2)	0.1441 N	baseball	computer game design	207	122	410	813 m^2	0.3419 m/s	0.7239	0.7893	568	0.7973	232	bird
4	706 m/(s^2)	0.8926 N	ice hockey	Robotics Engineering, Computer Science	?	818	785	409 m^2	0.4973 m/s	0.1652	0.1134	-82	0.6304	526	hamster
5	-112 m/(s^2)	0.6075 N	running	Computer Science, Robotics Engineering	211	282	240	628 m^2	0.5919 m/s	0.5154	-0.2528	1212	0.3098	275	ferret
2	761 m/(s^2)	0.069 N	soccer	Human Computer Interaction, Games and Playable Media	?	491	1032	172 m^2	0.087 m/s	?	0.6344	559	0.0729	901	cat
4	668 m/(s^2)	0.8895 N	ice hockey	Technology and Information Management	985	579	397	490 m^2	0.5882 m/s	0.4286	0.3896	0	0.9319	498	hamster
3	1173 m/(s^2)	0.339 N	motor sports	Computer Engineering	742	471	214	397 m^2	0.3694 m/s	0.731	0.8017	882	0.4039	917	dog
0	194 m/(s^2)	0.6721 N	Boxing	Computer Science, Robotics Engineering	243	723	948	n/a	0.8842 m/s	None	0.5407	236	0.2403	-7	rabbit
5	3 m/(s^2)	0.667 N	running	Computational Media, Robotics Engineering	129	231	306	693 m^2	0.8209 m/s	0.4253	0.1654	1112	0.447	365	pig
4	754 m/(s^2)	0.9905 N	badminton	Technology and Information Management	811	660	511	531 m^2	0.482 m/s	0.2863	-0.1161	92	0.8449	426	hamster
1	432 m/(s^2)	0.1515 N	volleyball	Bioinformatics	139	222	146	877 m^2	0.3301 m/s	?	0.8739	531	0.7934	405	bird
3	775 m/(s^2)	0.3512 N	basketball	Computer Engineering, Natural Language Processing	997	573	-166	None	0.5528 m/s	0.8951	1.0317	810	0.4177	775	dog
4	775 m/(s^2)	0.9729 N	ice hockey	Computational Media	866	675	651	225 m^2	0.5012 m/s	0.042	0.1629	144	0.681	509	hamster
4	808 m/(s^2)	0.7657 N	RUNNING	Technology and Information Management	963	579	723	230 m^2	0.4639 m/s	0.3537	0.2594	181	0.6935	333	hamster
3	821 m/(s^2)	0.3522 N	tennis	Natural Language Processing, Applied Mathematics	821	586	150	639 m^2	0.6346 m/s	0.6179	0.8824	789	0.2777	756	chicken
2	721 m/(s^2)	0.315 N	soccer	Biotechnology	412	523	975	263 m^2	0.1683 m/s	0.3252	0.5445	359	0.2904	1065	cat
3	898 m/(s^2)	0.6461 N	football	Computer Engineering	954	557	130	574 m^2	0.605 m/s	?	0.8392	745	0.3473	770	chicken
3	899 m/(s^2)	0.1686 N	basketball	Computer Engineering	889	643	62	589 m^2	0.5495 m/s	0.8403	0.8491	917	0.5674	677	dog
6	335 m/(s^2)	0.4403 N	golf	Data Science	622	330	451	834 m^2	0.1791 m/s	-0.0535	0.3753	405	0.8203	733	guinea pig
2	735 m/(s^2)	0.098 N	soccer	Human Computer Interaction, Biotechnology	573	622	832	334 m^2	0.3344 m/s	0.3235	0.5049	577	0.0704	817	cat
1	379 m/(s^2)	0.1174 N	volleyball	Computer Game Design	-28	241	413	1196 m^2	0.483 m/s	0.707	0.7603	606	0.6998	496	rat
1	504 m/(s^2)	0.2364 N	badminton	Bioinformatics	-82	137	100	946 m^2	0.4138 m/s	0.5313	0.7377	691	0.5235	103	BIRD
1	455 m/(s^2)	0.2609 N	badminton	Bioinformatics	-174	-44	149	1023 m^2	0.5833 m/s	0.8505	0.2693	648	0.7789	636	rat
5	9 m/(s^2)	0.4908 N	running	Computer Science, Computational Media	296	272	287	698 m^2	0.7117 m/s	0.1929	-0.142	1180	0.6173	515	ferret
6	365 m/(s^2)	0.5935 N	golf	Data Science	750	445	451	797 m^2	0.1921 m/s	0.0486	0.3042	62	1.0817	523	GUINEA PIG
6	104 m/(s^2)	0.5474 N	golf	Data Science	666	508	579	932 m^2	0.1947 m/s	0.0917	0.2322	490	0.9859	723	guinea pig
4	712 m/(s^2)	0.9212 N	boxing	Technology and Information Management	770	622	852	345 m^2	0.4375 m/s	0.4204	0.1181	61	0.7162	298	hamster
6	17 m/(s^2)	0.5294 N	golf	Data Science	559	469	362	771 m^2	0.0847 m/s	-0.0713	0.2108	596	N/A	740	guinea pig
2	779 m/(s^2)	-0.1568 N	golf	GAMES AND PLAYABLE MEDIA, BIOTECHNOLOGY	588	668	951	180 m^2	0.1382 m/s	0.3546	0.4199	613	-0.1352	950	cat
2	786 m/(s^2)	0.1621 N	soccer	Biotechnology	516	469	868	6 m^2	0.283 m/s	0.2474	0.5618	616	-0.0748	848	cat
4	1019 m/(s^2)	0.9603 N	ice hockey	Technology and Information Management	738	484		348 m^2	0.4018 m/s	0.3122	0.0465	53	0.8986	375	hamster
3	930 m/(s^2)	0.256 N	track & field	Applied Mathematics, Electrical Engineering, Natural Language Processing	887	559	79	527 m^2	0.6918 m/s	0.8777	0.9179	811	0.4889	807	chicken
1	528 m/(s^2)	0.2381 N	baseball	Bioinformatics	69	39	372	1020 m^2	0.4949 m/s	0.7002	0.5495	594	0.7893	90	fish
0	245 m/(s^2)	0.6053 N	boxing	Bioengineering	283	1017	998	-90 m^2	0.8647 m/s	1.0077	0.9238	124	0.4186	231	rabbit
5	110 m/(s^2)	0.34 N	boxing	Computational Media, Robotics Engineering	-11	10	277	543 m^2	0.712 m/s	n/a	0.0461	1209	0.5811	304	pig
5	86 m/(s^2)	0.5359 N	running	Computational Media	156	36	205	565 m^2	0.7239 m/s	0.2632	-0.0994	1023	0.5158	22	ferret
6	349 m/(s^2)	0.8246 N	golf	Data Science	807	468	213	830 m^2	0.3096 m/s	0.0586	0.3863	661	0.9012	531	hamster
5	-92 m/(s^2)	0.6541 N	football	Computational Media	99	117	126	461 m^2	0.841 m/s	0.3805	-0.0288	963	0.4891	467	pig
6	330 m/(s^2)	0.4564 N	golf	Data Science	507	456	406	847 m^2	0.3297 m/s	0.0117	0.2325	567	0.9408	536	guinea pig
3	868 m/(s^2)	0.3478 N	track & field	Applied Mathematics, Computer Engineering, Natural Language Processing	704	568	-159	565 m^2	0.51 m/s	0.8923	1.2195	725	0.164	841	chicken
5	-44 m/(s^2)	0.4364 N	golf	Robotics Engineering, Computational Media	246	109	389	741 m^2	0.9178 m/s	0.382	-0.0058	1119	0.5843	371	ferret
3	1050 m/(s^2)	0.321 N	tennis	Electrical Engineering, Natural Language Processing	937	602	119	614 m^2	0.5977 m/s	0.6314	0.9918	806	0.1629	969	dog
2	570 m/(s^2)	-0.2132 N	badminton	Games and Playable Media	569	638	1024	83 m^2	0.07 m/s	0.1175	0.5834	337	0.0601	1015	reptile
2	725 m/(s^2)	-0.1441 N	soccer	bIOENGINEERING	537	554	843	276 m^2	0.2235 m/s	0.0937	0.6113	427	0.0272	768	cat
1	530 m/(s^2)	0.201 N	soccer	Computer Game Design	40	4	407	855 m^2	0.3662 m/s	0.8217	0.5675	503	0.7422	201	rat
3	1210 m/(s^2)	0.2412 N	track & field	Electrical Engineering	819	498	50	729 m^2	0.5166 m/s	0.8775	1.0133	852	0.1801	933	hamster
2	892 m/(s^2)	0.006 N	soccer	Human Computer Interaction	498	548	1025	230 m^2	0.1292 m/s	0.1115	0.5971	367	-0.04	758	NULL
5	-97 m/(s^2)	0.6769 N	boxing	Computational Media, Computer Science	80	312	367	697 m^2	0.7469 m/s	0.5788	-0.0191	1063	0.2512	546	pig
0	194 m/(s^2)	1.0518 N	boxing	Statistics	205	935	846	-84 m^2	1.1445 m/s	0.8328	0.7077	419	0.563	39	rabbit
4	586 m/(s^2)	0.8628 N	ICE HOCKEY	Technology and Information Management	1111	631	707	460 m^2	0.6204 m/s	0.6003	-0.0787	205	0.9449	422	hamster
1	470 m/(s^2)	0.2613 N	volleyball	Bioinformatics	-40	169	302	1142 m^2	0.418 m/s	0.7622	0.4864	394	0.7527	228	bird
3	855 m/(s^2)	0.3152 N	track & field	Natural Language Processing, Electrical Engineering, Computer Engineering	885	516	460	722 m^2	0.7225 m/s	0.9253	0.8088	695	0.6605	830	dog
6	183 m/(s^2)	0.6217 N	golf	dATA sCIENCE	655	553	489	754 m^2	0.2557 m/s	0.1586	0.4023	420	1.0462	730	guinea pig
4	723 m/(s^2)	0.809 N	ice hockey	Technology and Information Management	729	583	658	436 m^2	0.5462 m/s	0.359	0.2301	254	0.7665	668	hamster
6	28 m/(s^2)	0.7186 N	boxing	Data Science	595	505	403	811 m^2	0.2538 m/s	-0.0355	0.141	582	1.0989	446	guinea pig
6	193 m/(s^2)	0.6203 N	golf	Data Science	818	381	480	763 m^2	0.1918 m/s	-0.0829	0.2716	315	1.0651	712	guinea pig
3	1062 m/(s^2)	0.3536 N	motor sports	Computer Engineering, Applied Mathematics, Electrical Engineering	907	631	284	513 m^2	0.7136 m/s	0.8357	0.7512	664	0.3669	746	chicken
2	757 m/(s^2)	0.0333 N	soccer	Human Computer Interaction	446	600	920	54 m^2	0.2278 m/s	0.2231	0.3346	313	0.0125	961	reptile
0	438 m/(s^2)	0.7335 N	boxing	Statistics	234	867	719	27 m^2	0.9071 m/s	1.1383	0.9202	315	0.3004	100	rabbit
2	559 m/(s^2)	0.2231 N	soccer	Biotechnology, Games and Playable Media	403	657	981	269 m^2	-0.0372 m/s	0.1454	0.8142	522	0.0314	1067	reptile
4	778 m/(s^2)	0.6075 N	ice hockey	Computer Science, Computational Media	768	779	660	469 m^2	0.5609 m/s	0.3264	0.1499	247	0.5716	475	guinea pig
4	987 m/(s^2)	0.7762 N	ice hockey	Technology and Information Management	1007	599	720	467 m^2	0.642 m/s	0.2554	-0.0249	193	0.8566	343	hamster
3	809 m/(s^2)	0.4312 N	motor sports	Computer Engineering, Applied Mathematics, Electrical Engineering	696	381	-108	723 m^2	0.6436 m/s	0.9616	0.7178	703	0.2561	741	chicken
6	293 m/(s^2)	0.6057 N	golf	Data Science	531	388	381	874 m^2	0.0351 m/s	-0.1895	0.5515	429	0.9809	396	guinea pig
2	674 m/(s^2)	0.0155 N	soccer	Biotechnology, Human Computer Interaction	575	362	902	221 m^2	NULL	0.256	0.5636	374	0.1656	988	reptile
3	954 m/(s^2)	0.4764 N	basketball	Electrical Engineering, Applied Mathematics, Computer Engineering	844	299	-21	707 m^2	0.4021 m/s	0.7846	0.9709	957	0.2099	852	dog
3	955 m/(s^2)	0.3099 N	motor sports	Computer Engineering, Applied Mathematics, Natural Language Processing	897	561	236	594 m^2	0.687 m/s	0.9223	0.9578	743	0.0117	947	dog
4	657 m/(s^2)	0.8991 N	ice hockey	Technology and Information Management	968	953	825	368 m^2	0.6966 m/s	0.1012	0.1162	-131	0.7636	497	hamster
4	783 m/(s^2)	0.9162 N	basketball	Technology and Information Management	985	806	595	431 m^2	0.6236 m/s	0.3051	0.3811	173	0.5217	321	hamster
3	1044 m/(s^2)	0.3327 N	tennis	Computer Engineering, Electrical Engineering	794	600	-104	788 m^2	NULL	0.9279	0.863	903	0.1456	717	chicken
3	1044 m/(s^2)	0.5461 N	tennis	Statistics	726	431	116	609 m^2	0.4919 m/s	0.7072	0.7856	843	0.193	710	dog
5	11 m/(s^2)	0.6259 N	football	Computational Media	106	191	425	677 m^2	0.7137 m/s	0.6561	0.1606	1053	0.4131	297	pig
1	305 m/(s^2)	0.2909 N	baseball	Computer Game Design	43	104	312	1076 m^2	0.2745 m/s	0.7119	0.641	727	0.5383	316	bird
6	-6 m/(s^2)	0.5821 N	golf	Data Science	863	250	353	830 m^2	0.3254 m/s	-0.2485	0.2717	289	0.9284	501	guinea pig
3	1109 m/(s^2)	0.3299 N	motor sports	Natural Language Processing, Electrical Engineering	970	480	4	512 m^2	0.758 m/s	0.7772	0.9894	696	0.3659	979	dog
4	804 m/(s^2)	N/A	ice hockey	Technology and Information Management	1107	536	737	429 m^2	0.4909 m/s	0.3339	-0.0487	44	0.7836	363	hamster
1	571 m/(s^2)	0.5247 N	volleyball	Bioinformatics	-23	50	422	1053 m^2	0.293 m/s	0.5874	0.7818	607	0.6386	186	guinea pig
5	-151 m/(s^2)	0.386 N	football	Robotics Engineering	104	182	423	710 m^2	0.741 m/s	0.412	0.2093	723	0.6386	533	ferret
3	883 m/(s^2)	0.4236 N	soccer	Computer Engineering, Electrical Engineering, Applied Mathematics	815	456	-25	515 m^2	0.6396 m/s	0.7658	0.5519	915	0.3436	835	hamster
6	207 m/(s^2)	0.7793 N	motor sports	Data Science	743	589	498	911 m^2	0.1166 m/s	-0.1873	0.2598	538	0.9808	840	guinea pig
6	200 m/(s^2)	0.6512 N	golf	Data Science	676	657	281	798 m^2	0.1377 m/s	0.0104	0.2309	453	0.987	503	guinea pig
0	516 m/(s^2)	0.5748 N	boxing	Bioengineering	373	920	805	110 m^2	0.7559 m/s	0.9446	0.7661	183	0.2159	141	rabbit
0	512 m/(s^2)	0.9681 N	boxing	Statistics	430	958	808	76 m^2	0.9268 m/s	NULL	0.9283	311	0.4997	83	rabbit
4	827 m/(s^2)	0.8982 N	ice hockey	Technology and Information Management	769	846	759	407 m^2	0.4788 m/s	0.5015	0.1995	-200	0.9451	539	hamster
0	293 m/(s^2)	0.9117 N	boxing	Statistics	314	879	987	-91 m^2	0.8967 m/s	1.0147	0.7939	127	0.49	4	None
6	216 m/(s^2)	0.5053 N	golf	Data Science	812	348	543	742 m^2	0.3104 m/s	0.1644	0.1273	291	0.89	674	guinea pig
1	424 m/(s^2)	0.2915 N	baseball	Bioinformatics	3	385	188	978 m^2	0.4049 m/s	0.4502	0.6577	666	0.7005	345	hamster
1	374 m/(s^2)	0.1863 N	badminton	Games and Playable Media	-17	59	530	1127 m^2	0.2889 m/s	0.6396	0.5941	872	0.5012	349	fish
1	279 m/(s^2)	0.2418 N	baseball	Bioinformatics	-143	25	172	979 m^2	0.3285 m/s	0.6759	0.7067	665	0.7605	264	bird
5	-100 m/(s^2)	0.7254 N	ice hockey	Computational Media, Computer Science	30	86	401	640 m^2	0.6646 m/s	0.2895	0.1757	1131	0.7029	316	ferret
0	320 m/(s^2)	0.6206 N	boxing	Bioengineering	299	746	709	-61 m^2	0.7737 m/s	0.7948	0.8324	461	0.1112	-38	rabbit
3	752 m/(s^2)	0.5056 N	soccer	Natural Language Processing, Electrical Engineering, Applied Mathematics	717	421	123	546 m^2	0.4821 m/s	0.6932	0.9498	1216	0.3351	696	dog
5	147 m/(s^2)	0.4328 N	running	Computational Media, Robotics Engineering		113	189	416 m^2	0.9062 m/s	0.3487	-0.1621	946	0.4496	518	dog
0	147 m/(s^2)	0.818 N	boxing	Bioengineering	403	1039	777	167 m^2	0.7439 m/s	1.0061	0.7707	407	0.3218	184	rabbit
5	-131 m/(s^2)	0.524 N	football	Computational Media	140	164	177	456 m^2	0.6285 m/s	0.423	0.1249	917	0.601	137	ferret
3	1051 m/(s^2)	0.3126 N	track & field	Applied Mathematics, Natural Language Processing	NULL	629	167	654 m^2	0.8738 m/s	1.0255	1.0588	625	0.1494	974	hamster
4	960 m/(s^2)	0.9242 N	soccer	Technology and Information Management	953	746	474	209 m^2	0.6695 m/s	0.5023	0.0439	371	0.7451	527	hamster
6	386 m/(s^2)	0.5529 N	running	Data Science	619	552	550	805 m^2	0.0492 m/s	0.057	0.4138	264	1.0153	713	guinea pig
3	1063 m/(s^2)	0.3589 N	ice hockey	Technology and Information Management	863	630	190	722 m^2	0.615 m/s	0.8919	0.9211	877	0.3937	940	dog
4	841 m/(s^2)	0.7807 N	ice hockey	Technology and Information Management	932	542	898	534 m^2	0.4969 m/s	0.2748	0.2263	-206	0.7212	501	hamster
5	-70 m/(s^2)	0.7026 N	track & field	Robotics Engineering	-57	133	457	463 m^2	0.7397 m/s	0.4365	0.2362	1060	0.4867	263	ferret
1	400 m/(s^2)	0.0977 N	football	Data Science	-100	359	178	882 m^2	0.4023 m/s	0.4958	0.6214	319	0.6652	490	pig
3	1001 m/(s^2)	0.2396 N	track & field	Electrical Engineering, Applied Mathematics, Natural Language Processing	906	446	-138	511 m^2	0.5353 m/s	0.8724	0.8303	803	0.5025	786	dog
1	239 m/(s^2)	0.4295 N	baseball	Bioinformatics	-43	228	263	1040 m^2	0.3901 m/s	0.6513	0.5631	443	0.7586	131	bird
1	573 m/(s^2)	0.2949 N	badminton	Bioinformatics	67	192	127	1113 m^2	0.3426 m/s	0.8128	0.7445	656	0.6236	263	reptile
2	727 m/(s^2)	-0.0111 N	soccer	Human Computer Interaction, Biotechnology	782	618	973	239 m^2	0.2324 m/s	0.3666	0.6482	477	0.2895	1204	guinea pig
6	245 m/(s^2)	0.577 N	GOLF	Data Science	857	561	484	690 m^2	0.2927 m/s	0.1326	0.5219	403	0.7812	553	guinea pig
5	46 m/(s^2)	n/a	running	Computer Science, Computational Media	192	358	130	508 m^2	0.6111 m/s	0.5836	0.0703	1140	0.3434	344	reptile
5	-39 m/(s^2)	0.7497 N	running	Robotics Engineering, Computational Media	238	49	195	484 m^2	0.6339 m/s	0.3761	0.1776	964	0.6434	239	ferret
2	590 m/(s^2)	0.0783 N	soccer	Electrical Engineering, Applied Mathematics, Computer Engineering	690	428	998	222 m^2	0.1394 m/s	0.2522	0.5854	436	-0.1137	807	reptile
2	889 m/(s^2)	0.1518 N	soccer	Games and Playable Media	501	653	?	297 m^2	-0.0399 m/s	0.5279	0.4405	667	0.1219	929	hamster
2	691 m/(s^2)	-0.0869 N	soccer	Bioinformatics	480	445	795	212 m^2	0.1823 m/s	0.2184	0.4199	641	0.0143	963	reptile
6	244 m/(s^2)	0.5531 N	golf	Data Science	944	452	244	763 m^2	0.0923 m/s	0.073	0.2346	522	1.1751	681	guinea pig
6	304 m/(s^2)	0.5823 N	golf	Data Science	569	402	578	729 m^2	0.0836 m/s	-0.0402	0.2497	222	1.1111	693	guinea pig
1	455 m/(s^2)	0.3805 N	soccer	Computer Game Design	-14	213	205	952 m^2	0.3208 m/s	NULL	0.54	578	0.5803	336	FISH
0	231 m/(s^2)	0.8435 N	None	Bioengineering	260	1089	877	7 m^2	0.8524 m/s	0.9822	0.709	206	0.3721	155	rabbit
6	48 m/(s^2)	0.841 N	soccer	BIOINFORMATICS	573	329	559	853 m^2	0.0647 m/s	-0.017	0.1001	624	1.0981	561	reptile
6	177 m/(s^2)	0.5883 N	volleyball	Data Science	602	474	622	693 m^2	0.3467 m/s	-0.0244	0.2943	388	1.0294	596	guinea pig
0	102 m/(s^2)	0.8376 N	boxing	Statistics	466	872	840	104 m^2	0.9804 m/s	0.9641	0.9135	313	0.4012	165	rabbit
3	757 m/(s^2)	0.3134 N	golf	Electrical Engineering, Natural Language Processing	963	614	-18	500 m^2	0.6034 m/s	0.7059	0.8781	730	0.2345	1163	chicken
1	427 m/(s^2)	0.2828 N	football	Computer Game Design	59	307	430	956 m^2	0.229 m/s	0.7864	0.7146	884	0.9434	-2	rat
6	241 m/(s^2)	0.6062 N	boxing	Data Science	694	751	363	663 m^2	0.0809 m/s	-0.1209	0.2293	536	0.9476	656	guinea pig
1	396 m/(s^2)	0.3813 N	volleyball	bioinformatics	90	114	449	852 m^2	0.2507 m/s	0.5969	0.7521	841	0.6883	182	fish
6	69 m/(s^2)	0.5323 N	golf	Data Science	582	552	691	565 m^2	0.1775 m/s	-0.0289	0.4438	389	0.9145	863	cat
5	-74 m/(s^2)	0.3859 N	running	Robotics Engineering	258	120	324	772 m^2	0.8949 m/s	0.4491	0.0927	908	0.2158	N/A	ferret
3	779 m/(s^2)	0.2442 N	tennis	Computer Engineering, Applied Mathematics, Natural Language Processing	756	365	-97	646 m^2	0.4313 m/s	0.8297	1.256	737	0.4195	1007	dog
0	254 m/(s^2)	0.7969 N	boxing	Statistics	421	762	934	-22 m^2	0.9775 m/s	0.7153	0.6613	405	0.4674	104	rabbit
1	622 m/(s^2)	0.2854 N	volleyball	Computer Game Design	74	235	260	979 m^2	0.3832 m/s	0.5179	0.6957	705	0.8044	218	fish
5	-46 m/(s^2)	0.4985 N	running	Computer Science, Computational Media	210	126	371	477 m^2	0.8235 m/s	0.5315	-0.1316	1006	0.2262	577	ferret
3	1028 m/(s^2)	0.1744 N	track & field	Natural Language Processing, Computer Engineering	1000	687	85	645 m^2	0.7214 m/s	0.9287	0.8322	810	0.0457	1071	chicken
3	944 m/(s^2)	0.0504 N	Tennis	Biotechnology, Human Computer Interaction	690	527	184	690 m^2	0.5902 m/s	0.8739	0.5931	1001	0.2315	899	chicken
5	78 m/(s^2)	0.3525 N	football	Computational Media, Robotics Engineering	13	138	284	654 m^2	0.8231 m/s	0.2673	0.2219	915	0.6569	109	ferret
2	822 m/(s^2)	0.0218 N	soccer	Games and Playable Media, Biotechnology	534	604	996	304 m^2	0.3987 m/s	0.3446	0.3769	561	0.516	916	reptile
1	501 m/(s^2)	N/A	volleyball	Computer Game Design	60	217	94	1104 m^2	0.2496 m/s	0.7068	0.65	470	0.8312	477	rat
4	880 m/(s^2)	0.8105 N	ice hockey	Technology and Information Management	860	782	706	499 m^2	0.4022 m/s	0.3032	0.1995	177	0.7536	529	HAMSTER
1	n/a	0.2705 N	volleyball	Computer Game Design	49	86	280	807 m^2	0.3815 m/s	0.8236	0.8207	480	0.9015	161	fish
6	417 m/(s^2)	0.7547 N	golf	Data Science	861	227	512	664 m^2	0.0934 m/s	0.1847	0.4065	528	1.141	675	reptile
0	451 m/(s^2)	0.9272 N	boxing	Statistics	280	1008	979	186 m^2	0.9919 m/s	0.7233	0.9557	227	0.4453	75	rabbit
5	-71 m/(s^2)	0.6334 N	running	Computer Science	187	-22	287	649 m^2	0.802 m/s	0.2124	-0.1085	921	0.5515	248	pig
6	322 m/(s^2)	0.7408 N	golf	Data Science	623	418	591	891 m^2	0.2755 m/s	-0.1106	0.5069	460	1.0603	736	hamster
4	803 m/(s^2)	0.8523 N	ice hockey	Technology and Information Management	955	768	786	434 m^2	0.5202 m/s	0.3427	0.2107	65	0.6811	806	hamster
0	244 m/(s^2)	0.9091 N	boxing	Bioengineering	617	1031	733	-42 m^2	0.94 m/s	0.8168	0.8004	299	0.1713	246	rabbit
6	269 m/(s^2)	0.526 N	golf	Data Science	886	623	545	717 m^2	0.174 m/s	0.0268	0.2677	379	1.09	700	guinea pig
2	594 m/(s^2)	0.0191 N	soccer	Biotechnology, Games and Playable Media	641	533	1056	185 m^2	0.127 m/s	0.1967	0.5547	537	0.1197	972	reptile
1	306 m/(s^2)	0.286 N	badminton	Bioinformatics	70	88	239	1098 m^2	0.4736 m/s	0.5106	0.9657	636	0.635	250	bird
0	420 m/(s^2)	0.8516 N	boxing	Computer Science, Computational Media	340	863	860	52 m^2	0.7992 m/s	0.861	0.7708	212	0.0945	-83	rabbit
2	708 m/(s^2)	-0.0529 N	soccer	Biotechnology	696	656	1139	204 m^2	0.2875 m/s	0.2639	0.3804	543	0.1277	1005	cat
2	661 m/(s^2)	-0.0705 N	soccer	Games and Playable Media, Biotechnology	496		975	284 m^2	-0.074 m/s	0.4279	0.4058	649	0.0015	1006	cat
1	349 m/(s^2)	0.291 N	tennis	Bioinformatics	29	222	131	963 m^2	0.3651 m/s	0.6624	0.7928	477	0.642	69	rat
3	965 m/(s^2)	0.3118 N	ice hockey	Natural Language Processing	854	385	285	583 m^2	0.5185 m/s	0.8059	0.9007	780	0.1142	996	chicken
3	886 m/(s^2)	0.2832 N	tennis	Natural Language Processing, Electrical Engineering, Applied Mathematics	913	662	249	821 m^2	0.6265 m/s	0.7544	0.9472	1126	0.4812	936	chicken
5	139 m/(s^2)	0.2199 N	soccer	Computer Science, Robotics Engineering	118	235	261	523 m^2	0.6987 m/s	0.6311	0.1436	1116	0.5296	278	FERRET
0	368 m/(s^2)	0.6525 N	golf	Technology and Information Management	413	1045	704	37 m^2	0.782 m/s	0.728	0.8473	446	0.4247	-280	rabbit
2	657 m/(s^2)	-0.076 N	soccer	Statistics	613	680	860	91 m^2	0.0625 m/s	0.2281	0.4824	352	0.0409	794	reptile
0	281 m/(s^2)	0.9412 N	boxing	Human Computer Interaction, Biotechnology	347	935	799	?	1.1092 m/s	0.8668	0.6938	379	0.3305	140	rabbit
6	249 m/(s^2)	0.5076 N	golf	Data Science	474	391	631	757 m^2	0.1927 m/s	0.1535	0.4559	462	0.8146	742	hamster
4	630 m/(s^2)	0.8546 N	ice hockey	Technology and Information Management	988	688	505	346 m^2	0.408 m/s	0.5428	0.1854	-188	0.7203	719	hamster
0	294 m/(s^2)	0.8592 N	boxing	Statistics	441	1012	746	-112 m^2	0.9926 m/s	0.7751	0.7783	440	0.0829	41	rabbit
3	1070 m/(s^2)	0.3288 N	soccer	Computer Engineering, Electrical Engineering, Applied Mathematics	563	343	133	570 m^2	0.4272 m/s	0.7706	0.8608	701	0.1896	836	dog
4	781 m/(s^2)	0.9699 N	N/A	Technology and Information Management	962	655	774	280 m^2	0.4659 m/s	0.3366	0.4551	314	0.7396	617	hamster
1	594 m/(s^2)	-0.0053 N	baseball	Bioinformatics	114	124	178	1076 m^2	0.3375 m/s	0.5135	0.6979	665	0.6156	89	fish
3	784 m/(s^2)	-0.0126 N	tennis	Electrical Engineering, Natural Language Processing, Computer Engineering	674	440	161	868 m^2	0.4838 m/s	0.935	1.0612	853	0.1686	1048	dog
1	471 m/(s^2)	0.3239 N	boxing	Robotics Engineering	4	109	465	963 m^2	0.2597 m/s	0.6326	0.6591	763	0.6139	393	rat
0	455 m/(s^2)	0.9708 N	ice hockey	Statistics	368	833	822	-13 m^2	0.7806 m/s	0.6036	0.7079	233	0.2454	219	reptile
5	-38 m/(s^2)	0.5951 N	running	Computational Media, Computer Science	345	249	388	563 m^2	0.7766 m/s	0.5019	0.2906	930	0.5106	412	pig
6	N/A	0.5348 N	golf	Data Science	699	498	259	857 m^2	0.2126 m/s	0.0731	0.0536	293	0.9884	727	guinea pig
4	604 m/(s^2)	0.8327 N	ice hockey	Technology and Information Management	949	858	631	477 m^2	0.4627 m/s	0.1921	0.0246	91	0.6557	351	hamster
4	815 m/(s^2)	1.0315 N	ice hockey	Data Science	954	655	560	459 m^2	0.5036 m/s	0.3815	0.1534	179	0.9194	422	hamster
5	-53 m/(s^2)	0.5173 N	running	Robotics Engineering	28	109	266	451 m^2	0.6069 m/s	0.6899	-0.0095	776	0.7038	288	ferret
1	303 m/(s^2)	0.1692 N	volleyball	Computer Game Design	202	47	-5	1077 m^2	0.543 m/s	0.6733	0.7853	595	0.6939	102	fish
